participant_id,group,nationality,age,gender,year_of_study,w1,w2,w3,w4,w5,w6,w7,w4r,w6r,b1,b2,b3,b4,b5,d1,d2,d3,d4,wb_mean,bel_mean,dis_mean,open_response
P243,International,China,24,Female,1,3.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,3.2857142857142856,3.4,3.75,I wish there were more culturally inclusive events on campus.
P299,International,Pakistan,26,Male,2,3.0,3.0,4.0,2.0,5.0,2.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,3.0,3.857142857142857,3.8,3.25,"Missing family dearly, especially holidays."
P135,EU,France,24,Male,1,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,5.0,5.0,4.0,3.0,3.0,2.0,2.0,2.5714285714285716,4.2,2.5,UK culture feels polite but distant—struggling to feel fully connected.
P199,EU,Poland,28,Male,1,4.0,4.0,5.0,3.0,3.0,2.0,4.0,3.0,4.0,5.0,5.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,3.857142857142857,5.0,1.0,"The language is a hurdle, but I'm improving thanks to language apps and friends."
P104,UK,Wales,28,Female,1,3.0,4.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,2.0,3.0,3.8,3.0,I'd like clearer guidelines on assignment deadlines.
P057,UK,Scotland,22,Male,1,4.0,3.0,3.0,2.0,5.0,2.0,3.0,4.0,4.0,5.0,5.0,6.0,5.0,4.0,2.0,2.0,2.0,2.0,3.7142857142857144,5.0,2.0,"Balancing studies and socialising is tricky, but I prioritise."
P091,UK,England,28,Male,2,5.0,4.0,5.0,3.0,4.0,1.0,4.0,3.0,5.0,5.0,6.0,5.0,6.0,5.0,1.0,2.0,1.0,2.0,4.285714285714286,5.4,1.5,"Finances are tight, but part-time work covers basics."
P274,International,Malaysia,26,Female,1,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,6.0,6.0,6.0,7.0,2.0,2.0,2.0,2.0,2.857142857142857,6.0,2.0,Struggling with language barriers and feeling excluded in social groups.
P213,EU,Germany,32,Female,2,4.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,6.0,4.0,5.0,5.0,5.0,2.0,1.0,2.0,1.0,3.0,5.0,1.5,"Missing family holidays, but I've made memories with new friends."
P093,UK,England,23,Male,2,4.0,3.0,3.0,3.0,4.0,1.0,3.0,3.0,5.0,7.0,7.0,7.0,7.0,7.0,1.0,2.0,1.0,1.0,3.5714285714285716,7.0,1.25,I'd like clearer guidelines on assignment deadlines.
P134,EU,France,25,Male,1,4.0,5.0,3.0,3.0,4.0,3.0,4.0,3.0,3.0,6.0,5.0,5.0,5.0,5.0,3.0,2.0,1.0,2.0,3.7142857142857144,5.2,2.0,Navigating language nuances is tricky—British idioms catch me off guard.
P275,International,China,29,Male,3,3.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,1.0,1.0,1.0,1.0,3.2857142857142856,3.4,1.0,"Sometimes feel my culture is exoticized, which is hurtful."
P064,UK,Wales,30,Female,2,3.0,3.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,2.0,3.0,4.0,2.0,3.2857142857142856,3.8,2.75,Rent and bills are my biggest worry right now.
P149,EU,Italy,23,Female,2,3.0,2.0,2.0,4.0,2.0,3.0,3.0,2.0,3.0,6.0,5.0,6.0,6.0,6.0,1.0,2.0,1.0,2.0,2.4285714285714284,5.8,1.5,
P172,EU,Italy,28,Female,2,4.0,4.0,3.0,3.0,2.0,2.0,3.0,3.0,4.0,6.0,4.0,5.0,4.0,5.0,2.0,3.0,3.0,2.0,3.2857142857142856,4.8,2.5,"UK social life feels more formal than in Spain, but I'm learning to navigate it."
P223,International,Nigeria,24,Male,1,3.0,4.0,4.0,2.0,3.0,2.0,4.0,4.0,4.0,5.0,5.0,5.0,4.0,4.0,3.0,3.0,1.0,2.0,3.7142857142857144,4.6,2.25,"Cultural norms at home clash with university practices, causing confusion."
P156,EU,Germany,25,Female,1,3.0,4.0,2.0,3.0,3.0,2.0,3.0,3.0,4.0,7.0,6.0,6.0,5.0,6.0,2.0,2.0,2.0,3.0,3.142857142857143,6.0,2.25,"UK social life feels more formal than in Spain, but I'm learning to navigate it."
P044,UK,England,26,Male,1,5.0,3.0,4.0,2.0,5.0,1.0,5.0,4.0,5.0,5.0,5.0,5.0,6.0,6.0,1.0,1.0,1.0,1.0,4.428571428571429,5.4,1.0,"Group projects are stressful, but teamwork helps."
P138,EU,Germany,28,Female,2,5.0,3.0,4.0,2.0,4.0,2.0,5.0,4.0,4.0,7.0,6.0,7.0,7.0,6.0,1.0,1.0,1.0,1.0,4.142857142857143,6.6,1.0,Navigating language nuances is tricky—British idioms catch me off guard.
P238,International,China,23,Non-Binary,1,2.0,2.0,3.0,3.0,1.0,4.0,2.0,3.0,2.0,2.0,3.0,4.0,3.0,3.0,2.0,3.0,3.0,3.0,2.142857142857143,3.0,2.75,Missing family's cooking and traditions deeply affects my mood.
P285,International,China,24,Female,1,1.0,3.0,3.0,5.0,1.0,3.0,3.0,1.0,3.0,3.0,4.0,4.0,3.0,3.0,5.0,3.0,3.0,3.0,2.142857142857143,3.4,3.5,Microaggressions like 'You're so articulate' make me feel tokenized.
P107,UK,England,22,Male,1,3.0,3.0,2.0,4.0,3.0,4.0,3.0,2.0,2.0,4.0,5.0,5.0,6.0,4.0,2.0,2.0,3.0,2.0,2.5714285714285716,4.8,2.25,I'd like clearer guidelines on assignment deadlines.
P027,UK,Wales,21,Female,1,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,5.0,5.0,5.0,5.0,5.0,2.0,2.0,2.0,1.0,3.142857142857143,5.0,1.75,"Workload's tough, but I manage with time blocks and support groups."
P276,International,Kenya,27,Female,1,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,2.0,3.0,3.0,3.0,3.4,2.75,"Celebrate small wins, like passing exams, to stay motivated."
P097,UK,England,31,Female,1,4.0,5.0,4.0,3.0,3.0,2.0,3.0,3.0,4.0,5.0,5.0,7.0,7.0,6.0,1.0,1.0,1.0,2.0,3.7142857142857144,6.0,1.25,"Balancing studies and socialising is tricky, but I prioritise."
P224,International,India,21,Male,2,5.0,5.0,4.0,2.0,4.0,2.0,4.0,4.0,4.0,6.0,7.0,7.0,6.0,7.0,2.0,1.0,2.0,1.0,4.285714285714286,6.6,1.5,Microaggressions like 'You're so articulate' make me feel tokenized.
P004,UK,England,25,Female,1,5.0,4.0,,1.0,5.0,2.0,5.0,5.0,4.0,6.0,5.0,6.0,7.0,6.0,1.0,2.0,2.0,2.0,4.666666666666667,6.0,1.75,Budgeting is a skill I'm still learning.
P280,International,Nigeria,24,Non-Binary,2,3.0,3.0,3.0,3.0,3.0,2.0,4.0,3.0,4.0,2.0,3.0,4.0,3.0,3.0,5.0,5.0,5.0,5.0,3.2857142857142856,3.0,5.0,Struggling with language barriers and feeling excluded in social groups.
P045,UK,England,26,Female,1,4.0,3.0,3.0,3.0,4.0,3.0,4.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,2.0,2.0,2.0,1.0,3.4285714285714284,3.8,1.75,I'd love more mental health resources on campus.
P260,International,Malaysia,26,Male,2,4.0,3.0,4.0,2.0,3.0,3.0,3.0,4.0,3.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.4285714285714284,2.4,3.0,"Cultural norms at home clash with university practices, causing confusion."
P171,EU,Spain,23,Male,2,3.0,4.0,3.0,1.0,4.0,2.0,5.0,5.0,4.0,6.0,6.0,5.0,6.0,5.0,1.0,1.0,1.0,1.0,4.0,5.6,1.0,
P157,EU,Poland,24,Male,3,1.0,2.0,3.0,3.0,2.0,4.0,3.0,3.0,2.0,5.0,3.0,3.0,3.0,4.0,2.0,3.0,3.0,1.0,2.2857142857142856,3.6,2.25,"Language barriers are minor—most people are patient, but accents confuse me."
P261,International,Malaysia,21,Female,3,2.0,3.0,3.0,4.0,3.0,4.0,2.0,2.0,2.0,5.0,5.0,6.0,5.0,5.0,4.0,3.0,3.0,3.0,2.4285714285714284,5.2,3.25,Balancing school and part-time jobs leaves little time for self-care.
P151,EU,France,23,Male,3,4.0,3.0,4.0,,3.0,3.0,3.0,,3.0,7.0,6.0,7.0,6.0,6.0,3.0,3.0,3.0,2.0,3.3333333333333335,6.4,2.75,"The weather here is brutal, but I've adapted to the rhythm of grey skies."
P197,EU,Sweden,21,Female,1,4.0,4.0,3.0,3.0,4.0,2.0,4.0,3.0,4.0,5.0,4.0,4.0,3.0,4.0,3.0,4.0,3.0,3.0,3.7142857142857144,4.0,3.25,"The language is a hurdle, but I'm improving thanks to language apps and friends."
P271,International,China,25,Male,1,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,2.0,2.0,3.0,2.0,3.142857142857143,3.8,2.25,Microaggressions like 'You're so articulate' make me feel tokenized.
P087,UK,England,26,Female,1,3.0,4.0,3.0,3.0,2.0,2.0,3.0,3.0,4.0,4.0,5.0,5.0,5.0,5.0,,2.0,2.0,1.0,3.142857142857143,4.8,1.6666666666666667,Social life is great—lots of events and friends to keep me grounded.
P005,UK,Scotland,22,Female,2,3.0,3.0,3.0,2.0,4.0,1.0,3.0,4.0,5.0,6.0,5.0,6.0,6.0,5.0,2.0,2.0,2.0,2.0,3.5714285714285716,5.6,2.0,"Finances are tight, but part-time work covers basics."
P062,UK,Wales,26,Female,3,3.0,3.0,3.0,4.0,3.0,3.0,4.0,2.0,3.0,5.0,5.0,7.0,5.0,6.0,3.0,2.0,2.0,3.0,3.0,5.6,2.5,Budgeting is a skill I'm still learning.
P041,UK,England,27,Male,1,4.0,4.0,3.0,1.0,5.0,1.0,5.0,5.0,5.0,6.0,6.0,6.0,7.0,6.0,2.0,1.0,1.0,1.0,4.428571428571429,6.2,1.25,Workshops on time management would be helpful.
P206,EU,Spain,24,Non-Binary,1,3.0,4.0,4.0,2.0,4.0,2.0,5.0,4.0,4.0,7.0,6.0,6.0,7.0,6.0,2.0,1.0,2.0,3.0,4.0,6.4,2.0,Navigating language nuances is tricky—British idioms catch me off guard.
P187,EU,France,27,Female,1,4.0,4.0,4.0,2.0,4.0,2.0,5.0,4.0,4.0,6.0,6.0,5.0,5.0,6.0,2.0,3.0,1.0,1.0,4.142857142857143,5.6,1.75,"I'm loving the freedom to explore, but homesickness hits when I'm alone."
P007,UK,England,27,Non-Binary,1,3.0,4.0,5.0,2.0,4.0,2.0,3.0,4.0,4.0,5.0,4.0,4.0,4.0,6.0,2.0,3.0,2.0,2.0,3.857142857142857,4.6,2.25,Social life is great—lots of events and friends to keep me grounded.
P077,UK,England,25,Female,1,5.0,4.0,4.0,1.0,5.0,1.0,5.0,5.0,5.0,4.0,5.0,4.0,4.0,5.0,1.0,1.0,1.0,1.0,4.714285714285714,4.4,1.0,"Workload's tough, but I manage with time blocks and support groups."
P127,UK,England,27,Non-Binary,2,1.0,3.0,2.0,5.0,2.0,4.0,3.0,1.0,2.0,4.0,4.0,4.0,3.0,5.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,I'm glad my accommodation is near campus.
P218,International,Nigeria,21,Male,1,4.0,3.0,5.0,2.0,4.0,3.0,5.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,3.0,3.0,3.0,4.0,3.2,3.25,"The workload combined with cultural adjustment is exhausting, but I'm pushing through."
P267,International,Brazil,26,Female,2,3.0,3.0,2.0,3.0,3.0,,3.0,3.0,,3.0,3.0,2.0,2.0,4.0,4.0,3.0,4.0,4.0,2.8333333333333335,2.8,3.75,Juggling visa deadlines and financial aid applications is overwhelming.
P234,International,Kenya,25,Female,2,3.0,3.0,3.0,2.0,4.0,3.0,5.0,4.0,3.0,3.0,3.0,4.0,4.0,5.0,3.0,3.0,3.0,4.0,3.5714285714285716,3.8,3.25,Financial aid gaps force me to take on more debt.
P269,International,China,23,Non-Binary,2,2.0,3.0,3.0,3.0,1.0,4.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,5.0,5.0,4.0,4.0,2.4285714285714284,3.0,4.5,Sometimes feel my accent makes others dismiss my ideas.
P270,International,India,27,Male,1,3.0,4.0,4.0,2.0,3.0,2.0,5.0,4.0,4.0,5.0,6.0,4.0,6.0,5.0,3.0,2.0,2.0,2.0,3.857142857142857,5.2,2.25,Microaggressions like 'You're so articulate' make me feel tokenized.
P165,EU,France,30,Female,1,4.0,4.0,4.0,2.0,3.0,3.0,3.0,4.0,3.0,5.0,5.0,4.0,4.0,5.0,2.0,2.0,3.0,2.0,3.5714285714285716,4.6,2.25,"UK social scenes are quieter than I expected—more laid-back, but I've found great friends."
P073,UK,England,24,Female,3,4.0,4.0,3.0,1.0,3.0,3.0,3.0,5.0,3.0,5.0,5.0,6.0,5.0,5.0,3.0,2.0,2.0,2.0,3.5714285714285716,5.2,2.25,Everything's manageable—just need to stay organised.
P163,EU,Germany,27,Female,1,4.0,4.0,4.0,2.0,5.0,2.0,4.0,4.0,4.0,6.0,4.0,5.0,4.0,4.0,2.0,2.0,2.0,2.0,4.142857142857143,4.6,2.0,"Love the campus vibe, but miss my family's cooking."
P208,EU,Sweden,27,Female,1,3.0,3.0,4.0,2.0,3.0,3.0,3.0,4.0,3.0,5.0,5.0,4.0,4.0,4.0,2.0,3.0,2.0,3.0,3.2857142857142856,4.4,2.5,"Language barriers are minor—most people are patient, but accents confuse me."
P102,UK,England,21,Female,3,4.0,4.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,5.0,5.0,4.0,4.0,5.0,1.0,1.0,2.0,2.0,3.5714285714285716,4.6,1.5,Socialising helps me stay focused; I'd do more if I had time.
P120,UK,England,25,Female,2,4.0,4.0,3.0,3.0,4.0,2.0,3.0,3.0,4.0,5.0,4.0,5.0,5.0,5.0,2.0,1.0,2.0,2.0,3.5714285714285716,4.8,1.75,"My flat has a great vibe, but maintenance is slow."
P298,International,Malaysia,29,Female,1,2.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,5.0,4.0,4.0,4.0,3.0,2.0,2.0,2.0,3.0,4.2,2.25,"Celebrate small wins, like passing exams, to stay motivated."
P085,UK,Wales,24,Male,2,3.0,3.0,3.0,3.0,2.0,4.0,2.0,3.0,2.0,3.0,3.0,4.0,4.0,4.0,2.0,2.0,2.0,2.0,2.5714285714285716,3.6,2.0,Not really
P137,EU,France,21,Female,1,4.0,4.0,5.0,1.0,5.0,1.0,5.0,5.0,5.0,6.0,,5.0,5.0,5.0,1.0,1.0,1.0,1.0,4.714285714285714,5.25,1.0,"I'm loving the freedom to explore, but homesickness hits when I'm alone."
P296,International,Nigeria,24,Female,2,4.0,4.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,5.0,3.5714285714285716,3.6,4.0,"Made friends who've helped me adapt, but systemic bias remains."
P047,UK,England,21,Female,2,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,5.0,5.0,4.0,3.0,4.0,3.2857142857142856,4.0,4.0,
P116,UK,England,23,Female,2,4.0,5.0,4.0,2.0,4.0,1.0,4.0,4.0,5.0,6.0,7.0,7.0,7.0,7.0,1.0,1.0,1.0,1.0,4.285714285714286,6.8,1.0,I'd like clearer guidelines on assignment deadlines.
P207,EU,Germany,24,Female,3,4.0,5.0,4.0,2.0,4.0,2.0,5.0,4.0,4.0,5.0,5.0,6.0,4.0,4.0,1.0,2.0,3.0,2.0,4.285714285714286,4.8,2.0,"UK social scenes are quieter than I expected—more laid-back, but I've found great friends."
P175,EU,Spain,28,Non-Binary,1,2.0,2.0,2.0,4.0,2.0,4.0,2.0,2.0,2.0,4.0,5.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,2.0,4.2,3.0,"Financial stress is manageable, but I sometimes worry about future costs."
P055,UK,England,22,Female,1,2.0,2.0,1.0,3.0,2.0,4.0,2.0,3.0,2.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,2.0,2.0,2.0,4.0,2.5,"Balancing studies and socialising is tricky, but I prioritise."
P113,UK,Scotland,26,Female,1,3.0,3.0,4.0,2.0,4.0,2.0,4.0,4.0,4.0,5.0,7.0,5.0,7.0,6.0,2.0,2.0,2.0,2.0,3.7142857142857144,6.0,2.0,I miss home cooking but manage with budget meals.
P154,EU,Poland,25,Non-Binary,1,3.0,4.0,4.0,2.0,4.0,3.0,4.0,4.0,3.0,3.0,4.0,5.0,4.0,4.0,2.0,3.0,2.0,2.0,3.7142857142857144,4.0,2.25,"Missing my family's celebrations, but I've created new traditions here."
P067,UK,England,23,Non-Binary,3,3.0,4.0,4.0,2.0,4.0,4.0,3.0,4.0,2.0,6.0,5.0,5.0,6.0,5.0,2.0,2.0,2.0,2.0,3.4285714285714284,5.4,2.0,Not really
P248,International,China,28,Female,2,2.0,2.0,2.0,4.0,3.0,4.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,3.0,3.0,2.0,2.142857142857143,1.6,2.5,Small acts of kindness from peers make a big difference.
P038,UK,Scotland,26,Female,1,4.0,4.0,3.0,1.0,4.0,3.0,3.0,5.0,3.0,4.0,4.0,4.0,4.0,4.0,1.0,2.0,2.0,2.0,3.7142857142857144,4.0,1.75,I sometimes feel pressure to overcommit.
P257,International,Malaysia,21,Female,2,4.0,4.0,3.0,1.0,3.0,3.0,3.0,5.0,3.0,6.0,7.0,7.0,5.0,7.0,4.0,4.0,3.0,2.0,3.5714285714285716,6.4,3.25,"Learned to advocate for myself, which boosts my confidence."
P013,UK,England,26,Female,1,4.0,4.0,4.0,3.0,3.0,2.0,3.0,3.0,4.0,5.0,4.0,4.0,5.0,4.0,1.0,1.0,2.0,1.0,3.5714285714285716,4.4,1.25,Everything's manageable—just need to stay organised.
P066,UK,Northern Ireland,25,Female,2,4.0,5.0,5.0,2.0,4.0,2.0,4.0,4.0,4.0,5.0,6.0,6.0,6.0,5.0,2.0,1.0,2.0,2.0,4.285714285714286,5.6,1.75,Food costs are a struggle; campus cafes are pricey.
P010,UK,England,22,Female,1,3.0,4.0,3.0,2.0,4.0,3.0,4.0,4.0,3.0,5.0,6.0,5.0,5.0,6.0,2.0,3.0,2.0,2.0,3.5714285714285716,5.4,2.25,
P212,EU,France,26,Female,1,4.0,5.0,5.0,2.0,5.0,2.0,5.0,4.0,4.0,6.0,6.0,6.0,7.0,7.0,1.0,1.0,1.0,1.0,4.571428571428571,6.4,1.0,"Adjusting to UK culture has been smooth, but I miss my family's food and warm evenings at home."
P145,EU,Netherlands,25,Male,1,2.0,3.0,2.0,4.0,3.0,4.0,3.0,2.0,2.0,5.0,4.0,,5.0,5.0,1.0,1.0,1.0,1.0,2.4285714285714284,4.75,1.0,"The weather here is brutal, but I've adapted to the rhythm of grey skies."
P025,UK,England,25,Non-Binary,2,4.0,3.0,4.0,2.0,4.0,1.0,4.0,4.0,5.0,6.0,6.0,6.0,5.0,5.0,2.0,1.0,2.0,2.0,4.0,5.6,1.75,No
P272,International,South Korea,23,Non-Binary,1,3.0,3.0,1.0,4.0,3.0,3.0,3.0,2.0,3.0,4.0,5.0,4.0,6.0,5.0,3.0,1.0,2.0,2.0,2.5714285714285716,4.8,2.0,
P178,EU,Germany,22,Male,2,3.0,4.0,3.0,2.0,3.0,4.0,3.0,4.0,2.0,5.0,6.0,5.0,6.0,6.0,1.0,2.0,2.0,1.0,3.142857142857143,5.6,1.5,
P112,UK,England,26,Male,2,5.0,3.0,5.0,1.0,5.0,1.0,4.0,5.0,5.0,6.0,5.0,5.0,5.0,6.0,1.0,1.0,2.0,1.0,4.571428571428571,5.4,1.25,
P281,International,South Korea,24,Non-Binary,2,2.0,2.0,2.0,4.0,2.0,4.0,2.0,2.0,2.0,3.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,2.0,3.4,4.0,
P215,EU,Italy,21,Female,3,2.0,3.0,2.0,4.0,2.0,3.0,2.0,2.0,3.0,3.0,4.0,2.0,2.0,2.0,4.0,4.0,3.0,3.0,2.2857142857142856,2.6,3.5,"Adjusting to the pace of life here is harder than I thought, but I'm getting better."
P111,UK,England,30,Female,1,3.0,4.0,4.0,3.0,4.0,4.0,2.0,3.0,2.0,3.0,4.0,5.0,4.0,4.0,4.0,3.0,2.0,2.0,3.142857142857143,4.0,2.75,Social life is great—lots of events and friends to keep me grounded.
P227,International,India,27,Male,2,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,4.0,4.0,4.0,4.0,3.0,2.0,3.0,3.0,2.7142857142857144,4.2,2.75,"It's lonely sometimes, but I remind myself why I'm here."
P266,International,India,25,Female,2,3.0,3.0,3.0,2.0,3.0,2.0,2.0,4.0,4.0,5.0,5.0,4.0,5.0,6.0,4.0,4.0,4.0,3.0,3.142857142857143,5.0,3.75,"It's lonely sometimes, but I remind myself why I'm here."
P196,EU,Netherlands,25,Male,1,2.0,3.0,2.0,4.0,2.0,3.0,2.0,2.0,3.0,1.0,3.0,2.0,1.0,3.0,3.0,2.0,3.0,2.0,2.2857142857142856,2.0,2.5,"The weather here is brutal, but I've adapted to the rhythm of grey skies."
P209,EU,Poland,29,Female,1,3.0,3.0,3.0,3.0,2.0,4.0,3.0,3.0,2.0,4.0,4.0,4.0,3.0,4.0,2.0,2.0,2.0,3.0,2.7142857142857144,3.8,2.25,"Financial stress sometimes creeps in, but part-time work helps."
P049,UK,England,22,Female,2,4.0,4.0,5.0,3.0,3.0,3.0,4.0,3.0,3.0,6.0,5.0,6.0,5.0,5.0,2.0,1.0,2.0,1.0,3.7142857142857144,5.4,1.5,I feel supported by my peers and staff.
P017,UK,England,24,Male,1,4.0,3.0,3.0,2.0,3.0,2.0,3.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,1.0,2.0,2.0,2.0,3.4285714285714284,5.0,1.75,"Group projects are stressful, but teamwork helps."
P119,UK,Wales,26,Female,2,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,4.0,6.0,6.0,5.0,3.0,2.0,3.0,3.0,3.142857142857143,5.2,2.75,Social life is great—lots of events and friends to keep me grounded.
P246,International,Nigeria,26,Female,1,2.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,5.0,4.0,5.0,5.0,4.0,3.0,4.0,3.0,3.142857142857143,4.6,3.5,Found comfort in online communities but still feel isolated.
P142,EU,Italy,23,Female,1,5.0,4.0,4.0,2.0,4.0,2.0,5.0,4.0,4.0,5.0,6.0,5.0,5.0,6.0,1.0,1.0,1.0,1.0,4.285714285714286,5.4,1.0,"Financial stress is a constant, but I'm focusing on saving for the future."
