StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,consent,attention_check,participant_id,group,nationality,age,gender,year_of_study,w1,w2,w3,w4,w5,w6,w7,b1,b2,b3,b4,b5,d1,d2,d3,d4,open_response
2025-01-11 18:05:23,2025-01-11 18:11:47,IP Address,208.206.125.140,100,384,True,2025-01-11 18:11:53,R_LFuMk9TsuZHRsYw,anonymous,EN,I agree,4,P103,UK,England,26,MALE,2,4,4,4,2,4,2,3,6,7,6,4,5,3,2,2,2,"My flat has a great vibe, but maintenance is slow."
2025-01-18 08:57:43,2025-01-18 09:07:04,IP Address,172.49.240.110,100,561,True,2025-01-18 09:07:09,R_HiyXH7iP4XTx6II,anonymous,EN,I agree,4,P242,International,Kenya,23,f,3,3,3,3,3,3,1,4,6,6,6,5,5,1,2,2,1,"Made friends who've helped me adapt, but systemic bias remains."
2025-01-09 08:16:07,2025-01-09 08:23:10,IP Address,80.69.77.46,100,423,True,2025-01-09 08:23:15,R_OZM4OtBJTfsUkiH,anonymous,EN,I agree,4,P051,UK,England,26,Male,3,3,4,4,2,4,2,4,5,4,5,4,4,1,1,2,1,
2025-01-07 11:15:10,2025-01-07 11:22:26,IP Address,150.97.191.167,100,436,True,2025-01-07 11:22:33,R_rAJOCBnD3XkfFNu,anonymous,EN,I agree,4,P016,UK,Scotland,24,f,3,4,3,3,1,4,2,4,6,5,6,5,5,2,2,2,2,I've made great friends through clubs and societies.
2025-01-08 00:32:45,2025-01-08 00:42:12,IP Address,82.181.18.92,100,567,True,2025-01-08 00:42:14,R_ld6DYyeNdjIs9hV,anonymous,EN,I agree,4,P033,UK,Scotland,28,Female,1,4,4,4,2,4,2,4,7,6,6,6,6,1,2,1,1,Social life is great—lots of events and friends to keep me grounded.
2025-01-14 03:02:53,2025-01-14 03:07:49,IP Address,212.150.28.162,100,296,True,2025-01-14 03:07:53,R_ZwZcSH9gZUs9BvY,anonymous,EN,I agree,4,P153,EU,Netherlands,24,m,2,3,2,3,4,3,4,2,3,4,4,3,4,2,3,3,2,UK culture feels polite but distant—struggling to feel fully connected.
2025-01-06 21:10:23,2025-01-06 21:18:28,IP Address,157.16.46.104,100,485,True,2025-01-06 21:18:31,R_hgIqLSmNqE40fAr,anonymous,EN,I agree,4,P008,UK,England,26,female,3,4,4,5,1,5,2,4,6,5,6,6,6,3,2,2,2,
2025-01-12 11:02:08,2025-01-12 11:08:33,IP Address,160.55.254.104,100,385,True,2025-01-12 11:08:34,R_pmO50fSlqPL2lVS,anonymous,EN,I agree,4,P125,UK,Scotland,21,M,2,2,4,3,3,4,3,3,4,5,5,4,5,3,2,2,3,Nothing to add
2025-01-13 20:39:42,2025-01-13 20:49:49,IP Address,219.144.133.123,100,607,True,2025-01-13 20:49:52,R_bMmKyRmUYdg2luC,anonymous,EN,I agree,4,P148,EU,Sweden,24,male,2,4,3,3,2,3,4,3,6,5,5,7,5,3,2,3,3,"It's been challenging at times, but I'm proud of how much I've grown."
2025-01-08 09:07:49,2025-01-08 09:16:32,IP Address,145.140.31.82,100,523,True,2025-01-08 09:16:39,R_QR6FEecAtpf7ZJ6,anonymous,EN,I agree,4,P037,UK,England,26,female,1,2,2,2,4,4,2,2,5,3,5,5,5,1,2,2,,Workshops on time management would be helpful.
2025-01-11 03:31:32,2025-01-11 03:41:49,IP Address,81.35.134.29,100,617,True,2025-01-11 03:41:54,R_scAXCg4KbFpiAMo,anonymous,EN,I agree,4,P083,UK,England,21,Female,1,4,6,5,2,5,2,4,7,7,7,7,7,2,2,3,3,I feel supported by my peers and staff.
2025-01-18 09:08:28,2025-01-18 09:13:49,IP Address,83.70.248.247,100,321,True,2025-01-18 09:13:58,R_haKH6sU4vzOFjnZ,anonymous,EN,I agree,4,P243,International,China,24,Female,1,3,3,4,3,3,3,4,3,3,3,4,4,3,4,4,4,I wish there were more culturally inclusive events on campus.
2025-01-20 12:31:56,2025-01-20 12:40:05,IP Address,198.96.211.51,100,489,True,2025-01-20 12:40:09,R_OLaWxscHjFndTyB,anonymous,EN,I agree,4,P299,International,Pakistan,26,male,2,3,3,4,2,5,2,4,3,4,4,4,4,3,3,4,3,"Missing family dearly, especially holidays."
2025-01-13 05:35:16,2025-01-13 05:41:52,IP Address,101.53.52.216,100,396,True,2025-01-13 05:42:00,R_ekoZy3uUi9SF8dB,anonymous,EN,I agree,4,P135,EU,France,24,MALE,1,2,2,2,3,3,3,3,3,4,5,5,4,3,3,2,2,UK culture feels polite but distant—struggling to feel fully connected.
2025-01-16 13:02:16,2025-01-16 13:10:11,IP Address,99.120.193.49,100,475,True,2025-01-16 13:10:12,R_3bYsrERg1i8BZqz,anonymous,EN,I agree,4,P199,EU,Poland,28,m,1,4,4,5,3,3,2,4,5,5,5,5,5,1,1,1,1,"The language is a hurdle, but I'm improving thanks to language apps and friends."
2025-01-11 18:12:10,2025-01-11 18:16:23,IP Address,166.194.60.46,100,253,True,2025-01-11 18:16:27,R_P8KXSQbD7WWJSKk,anonymous,EN,I agree,4,P104,UK,Wales,28,F,1,3,4,3,3,3,3,2,3,4,4,4,4,4,3,3,2,I'd like clearer guidelines on assignment deadlines.
2025-01-09 12:58:48,2025-01-09 13:04:04,IP Address,119.32.164.116,100,316,True,2025-01-09 13:04:09,R_PNLbWphJeVmn1uj,anonymous,EN,I agree,4,P057,UK,Scotland,22,MALE,1,4,3,3,2,5,2,3,5,5,6,5,4,2,2,2,2,"Balancing studies and socialising is tricky, but I prioritise."
2025-01-11 07:55:34,2025-01-11 08:05:02,IP Address,192.218.90.38,100,568,True,2025-01-11 08:05:09,R_phTExIqqB9r4Eh0,anonymous,EN,I agree,4,P091,UK,England,28,m,2,5,4,5,3,4,1,4,5,6,5,6,5,1,2,1,2,"Finances are tight, but part-time work covers basics."
2025-01-19 18:35:00,2025-01-19 18:42:08,IP Address,183.146.184.51,100,428,True,2025-01-19 18:42:09,R_JOkWwPET3xrNikY,anonymous,EN,I agree,4,P274,International,Malaysia,26,Female,1,2,3,3,3,3,3,3,5,6,6,6,7,2,2,2,2,Struggling with language barriers and feeling excluded in social groups.
2025-01-16 23:15:12,2025-01-16 23:22:40,IP Address,125.156.36.89,100,448,True,2025-01-16 23:22:42,R_v3wl64zoTiTKkwO,anonymous,EN,I agree,4,P213,EU,Germany,32,Female,2,4,3,2,3,3,3,3,6,4,5,5,5,2,1,2,1,"Missing family holidays, but I've made memories with new friends."
2025-01-11 08:44:52,2025-01-11 08:52:49,IP Address,106.109.200.120,100,477,True,2025-01-11 08:52:55,R_XFhmiXbIwXILft9,anonymous,EN,I agree,4,P093,UK,England,23,MALE,2,4,3,3,3,4,1,3,7,7,7,7,7,1,2,1,1,I'd like clearer guidelines on assignment deadlines.
2025-01-13 05:09:10,2025-01-13 05:19:36,IP Address,199.245.136.128,100,626,True,2025-01-13 05:19:38,R_3Dce53Ic5t7KUSy,anonymous,EN,I agree,4,P134,EU,France,25,male,1,4,5,3,3,4,3,4,6,5,5,5,5,3,2,1,2,Navigating language nuances is tricky—British idioms catch me off guard.
2025-01-19 20:22:38,2025-01-19 20:29:27,IP Address,180.58.113.6,100,409,True,2025-01-19 20:29:34,R_uNJ0ekotsqNqB1w,anonymous,EN,I agree,4,P275,International,China,29,male,3,3,4,4,3,3,3,3,4,3,3,3,4,1,1,1,1,"Sometimes feel my culture is exoticized, which is hurtful."
2025-01-10 00:03:13,2025-01-10 00:09:17,IP Address,153.186.223.145,100,364,True,2025-01-10 00:09:20,R_0wVJY08YMNb5Zql,anonymous,EN,I agree,4,P064,UK,Wales,30,Female,2,3,3,4,3,4,3,3,3,4,4,4,4,2,3,4,2,Rent and bills are my biggest worry right now.
2025-01-13 20:47:10,2025-01-13 20:54:59,IP Address,189.165.149.240,100,469,True,2025-01-13 20:55:05,R_q1GNLLKv0MYRsMf,anonymous,EN,I agree,4,P149,EU,Italy,23,female,2,3,2,2,4,2,3,3,6,5,6,6,6,1,2,1,2,
2025-01-15 08:43:41,2025-01-15 08:49:16,IP Address,150.218.66.92,100,335,True,2025-01-15 08:49:21,R_amIsMCKEVm3Vpaz,anonymous,EN,I agree,4,P172,EU,Italy,28,female,2,4,4,3,3,2,2,3,6,4,5,4,5,2,3,3,2,"UK social life feels more formal than in Spain, but I'm learning to navigate it."
2025-01-17 12:55:52,2025-01-17 13:04:17,IP Address,174.168.138.220,100,505,True,2025-01-17 13:04:24,R_8dnNzoCXB1BhEOg,anonymous,EN,I agree,4,P223,International,Nigeria,24,Male,1,3,4,4,2,3,2,4,5,5,5,4,4,3,3,1,2,"Cultural norms at home clash with university practices, causing confusion."
2025-01-14 14:46:16,2025-01-14 14:52:33,IP Address,217.173.100.61,100,377,True,2025-01-14 14:52:36,R_h1pSZVPEJqzCN2f,anonymous,EN,I agree,4,P156,EU,Germany,25,female,1,3,4,2,3,3,2,3,7,6,6,5,6,2,2,2,3,"UK social life feels more formal than in Spain, but I'm learning to navigate it."
2025-01-08 16:37:26,2025-01-08 16:44:07,IP Address,145.47.15.146,100,401,True,2025-01-08 16:44:10,R_oWcURYxPY8EcFK1,anonymous,EN,I agree,4,P044,UK,England,26,M,1,5,3,4,2,5,1,5,5,5,5,6,6,1,1,1,1,"Group projects are stressful, but teamwork helps."
2025-01-13 09:15:28,2025-01-13 09:24:53,IP Address,174.117.189.140,100,565,True,2025-01-13 09:24:54,R_ilBIzbvfLuxsyf3,anonymous,EN,I agree,4,P138,EU,Germany,28,F,2,5,3,4,2,4,2,5,7,6,7,7,6,1,1,1,1,Navigating language nuances is tricky—British idioms catch me off guard.
2025-01-18 05:57:47,2025-01-18 06:02:09,IP Address,93.131.216.41,100,262,True,2025-01-18 06:02:10,R_r4YxXBc3lF6k7Ha,anonymous,EN,I agree,4,P238,International,China,23,Non-binary,1,2,2,3,3,1,4,2,2,3,4,3,3,2,3,3,3,Missing family's cooking and traditions deeply affects my mood.
2025-01-20 03:07:33,2025-01-20 03:14:24,IP Address,105.213.113.128,100,411,True,2025-01-20 03:14:27,R_DQtuNc6GpNm31nh,anonymous,EN,I agree,4,P285,International,China,24 years,Female,1,1,3,3,5,1,3,3,3,4,4,3,3,5,3,3,3,Microaggressions like 'You're so articulate' make me feel tokenized.
2025-01-11 21:01:15,2025-01-11 21:07:46,IP Address,86.157.21.154,100,391,True,2025-01-11 21:07:52,R_NQLlpIn8srmRtv5,anonymous,EN,I agree,4,P107,UK,England,22,m,1,3,3,2,4,3,4,3,4,5,5,6,4,2,2,3,2,I'd like clearer guidelines on assignment deadlines.
2025-01-07 18:34:37,2025-01-07 18:44:10,IP Address,219.27.20.33,100,573,True,2025-01-07 18:44:19,R_AwFv0Yg7NZRBT7q,anonymous,EN,I agree,4,P027,UK,Wales,21,F,1,3,3,3,3,4,3,3,5,5,5,5,5,2,2,2,1,"Workload's tough, but I manage with time blocks and support groups."
2025-01-19 20:43:20,2025-01-19 20:51:08,IP Address,83.180.111.199,100,468,True,2025-01-19 20:51:15,R_K7zlbTP6Rekgd2I,anonymous,EN,I agree,4,P276,International,Kenya,27,f,1,3,3,3,3,3,3,3,4,3,3,4,3,3,2,3,3,"Celebrate small wins, like passing exams, to stay motivated."
2025-01-11 12:19:52,2025-01-11 12:26:15,IP Address,170.155.144.170,100,383,True,2025-01-11 12:26:23,R_NJOVzNEMr7DXQse,anonymous,EN,I agree,4,P097,UK,England,31,FEMALE,1,4,5,4,3,3,2,3,5,5,7,7,6,1,1,1,2,"Balancing studies and socialising is tricky, but I prioritise."
2025-01-17 13:39:46,2025-01-17 13:49:52,IP Address,119.85.136.48,100,606,True,2025-01-17 13:49:55,R_zIafLMsFmP6wdnC,anonymous,EN,I agree,4,P224,International,India,21,MALE,2,5,5,4,2,4,2,4,6,7,7,6,7,2,1,2,1,Microaggressions like 'You're so articulate' make me feel tokenized.
2025-01-05 14:22:01,2025-01-05 14:22:29,Survey Preview,127.0.0.1,100,28,True,2025-01-05 14:22:31,R_PREVIEW001ajg,preview,EN,I agree,4,PREVIEW_001,UK,England,99,Male,1,3,3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,test test test - this is a test entry AJG 06/01/2025 please discard
2025-01-06 16:04:05,2025-01-06 16:11:28,IP Address,81.41.213.39,100,443,True,2025-01-06 16:11:31,R_9ISjs8JHUdKF0j7,anonymous,EN,I agree,4,P004,UK,England,25,f,1,5,4,6,1,5,2,5,6,5,6,7,6,1,2,2,2,Budgeting is a skill I'm still learning.
2025-01-19 23:11:25,2025-01-19 23:17:29,IP Address,177.165.22.22,100,364,True,2025-01-19 23:17:38,R_a56DaAsoaxzIykT,anonymous,EN,I agree,4,P280,International,Nigeria,24,Non-binary,2,3,3,3,3,3,2,4,2,3,4,3,3,5,5,5,5,Struggling with language barriers and feeling excluded in social groups.
2025-01-08 18:29:59,2025-01-08 18:35:38,IP Address,96.123.214.121,100,339,True,2025-01-08 18:35:40,R_2BGCSzOjD8uQO00,anonymous,EN,I agree,4,P045,UK,England,26,Female,1,4,3,3,3,4,3,4,4,3,4,4,4,2,2,2,1,I'd love more mental health resources on campus.
2025-01-19 06:10:48,2025-01-19 06:14:52,IP Address,114.141.178.46,100,244,True,2025-01-19 06:15:00,R_RT1OUBRknyuIRRj,anonymous,EN,I agree,4,P260,International,Malaysia,26,MALE,2,4,3,4,2,3,3,3,2,3,2,2,3,3,3,3,3,"Cultural norms at home clash with university practices, causing confusion."
2025-01-15 07:57:19,2025-01-15 08:05:33,IP Address,217.152.250.229,100,494,True,2025-01-15 08:05:42,R_qexF3lX87eCr0uI,anonymous,EN,I agree,4,P171,EU,Spain,23,M,2,3,4,3,1,4,2,5,6,6,5,6,5,1,1,1,1,
2025-01-14 15:34:19,2025-01-14 15:41:08,IP Address,205.53.241.229,100,409,True,2025-01-14 15:41:17,R_Fr6w6uaVTTCPwdH,anonymous,EN,I agree,4,P157,EU,Poland,24 years,M,3,1,2,3,3,2,4,3,5,3,3,3,4,2,3,3,1,"Language barriers are minor—most people are patient, but accents confuse me."
2025-01-19 06:11:43,2025-01-19 06:19:27,IP Address,173.203.101.45,100,464,True,2025-01-19 06:19:28,R_7afj5Adnecx9MGS,anonymous,EN,I agree,4,P261,International,Malaysia,21,female,3,2,3,3,4,3,4,2,5,5,6,5,5,4,3,3,3,Balancing school and part-time jobs leaves little time for self-care.
2025-01-13 22:36:26,2025-01-13 22:43:38,IP Address,177.19.133.164,100,432,True,2025-01-13 22:43:45,R_EitBdwaiY7FEQz0,anonymous,EN,I agree,4,P151,EU,France,23,MALE,3,4,3,4,N/A,3,3,3,7,6,7,6,6,3,3,3,2,"The weather here is brutal, but I've adapted to the rhythm of grey skies."
2025-01-16 12:01:42,2025-01-16 12:08:22,IP Address,121.103.125.178,100,400,True,2025-01-16 12:08:29,R_WMGAzjKV65IgrHv,anonymous,EN,I agree,4,P197,EU,Sweden,21,female,1,4,4,3,3,4,2,4,5,4,4,3,4,3,4,3,3,"The language is a hurdle, but I'm improving thanks to language apps and friends."
2025-01-19 16:17:00,2025-01-19 16:25:57,IP Address,189.128.212.112,100,537,True,2025-01-19 16:26:03,R_nRx0rliJogqoAxj,anonymous,EN,I agree,4,P271,International,China,25,m,1,3,3,3,3,3,3,4,3,4,4,4,4,2,2,3,2,Microaggressions like 'You're so articulate' make me feel tokenized.
2025-01-11 05:15:38,2025-01-11 05:20:38,IP Address,111.224.154.254,100,300,True,2025-01-11 05:20:44,R_wW1uhw3U3x8EE5G,anonymous,EN,I agree,4,P087,UK,England,26,f,1,3,4,3,3,2,2,3,4,5,5,5,5,N/A,2,2,1,Social life is great—lots of events and friends to keep me grounded.
2025-01-06 16:53:06,2025-01-06 17:01:56,IP Address,179.11.158.87,100,530,True,2025-01-06 17:02:02,R_elKPoh3pKMzKG5m,anonymous,EN,I agree,4,P005,UK,Scotland,22,FEMALE,2,3,3,3,2,4,1,3,6,5,6,6,5,2,2,2,2,"Finances are tight, but part-time work covers basics."
2025-01-09 20:30:41,2025-01-09 20:36:33,IP Address,104.84.74.103,100,352,True,2025-01-09 20:36:39,R_fAPxj5eZffTYIKI,anonymous,EN,I agree,4,P062,UK,Wales,26,FEMALE,3,3,3,3,4,3,3,4,5,5,7,5,6,3,2,2,3,Budgeting is a skill I'm still learning.
2025-01-08 14:54:45,2025-01-08 15:03:12,IP Address,166.53.66.103,100,507,True,2025-01-08 15:03:13,R_LojIIf94ChZESFq,anonymous,EN,I agree,4,P041,UK,England,27,male,1,4,4,3,1,5,1,5,6,6,6,7,6,2,1,1,1,Workshops on time management would be helpful.
2025-01-16 18:07:42,2025-01-16 18:18:08,IP Address,148.145.119.127,100,626,True,2025-01-16 18:18:10,R_XXLOQSO9qzycRJl,anonymous,EN,I agree,4,P206,EU,Spain,24,non-binary,1,3,4,4,2,4,2,5,7,6,6,7,6,2,1,2,3,Navigating language nuances is tricky—British idioms catch me off guard.
2025-01-16 04:25:56,2025-01-16 04:35:05,IP Address,122.147.200.46,100,549,True,2025-01-16 04:35:12,R_hT66y97cL57nJ6i,anonymous,EN,I agree,4,P187,EU,France,27,female,1,4,4,4,2,4,2,5,6,6,5,5,6,2,3,1,1,"I'm loving the freedom to explore, but homesickness hits when I'm alone."
2025-01-06 19:05:53,2025-01-06 19:11:36,IP Address,217.78.178.136,100,343,True,2025-01-06 19:11:42,R_22wjZRL9OaYsP6i,anonymous,EN,I agree,4,P007,UK,England,27,NB,1,3,4,5,2,4,2,3,5,4,4,4,6,2,3,2,2,Social life is great—lots of events and friends to keep me grounded.
2025-01-10 21:18:27,2025-01-10 21:24:27,IP Address,162.93.181.124,100,360,True,2025-01-10 21:24:35,R_ln6Eoie0gVZ2cuV,anonymous,EN,I agree,4,P077,UK,England,25,Female,1,5,4,4,1,5,1,5,4,5,4,4,5,1,1,1,1,"Workload's tough, but I manage with time blocks and support groups."
2025-01-12 16:11:33,2025-01-12 16:18:42,IP Address,177.238.81.143,100,429,True,2025-01-12 16:18:51,R_IWxHwqFEg8D04wz,anonymous,EN,I agree,4,P127,UK,England,27,NB,2,1,3,2,5,2,4,3,4,4,4,3,5,2,2,2,2,I'm glad my accommodation is near campus.
2025-01-17 05:28:10,2025-01-17 05:35:53,IP Address,138.103.188.75,100,463,True,2025-01-17 05:35:54,R_XtTfVc0PkwBM2fY,anonymous,EN,I agree,4,P218,International,Nigeria,21,M,1,4,3,5,2,4,3,5,3,3,3,4,3,4,3,3,3,"The workload combined with cultural adjustment is exhausting, but I'm pushing through."
2025-01-19 12:34:29,2025-01-19 12:40:01,IP Address,102.71.224.154,100,332,True,2025-01-19 12:40:05,R_Dv3q6Q4EmT2mmpM,anonymous,EN,I agree,4,P267,International,Brazil,26,female,2,3,3,2,3,3,,3,3,3,2,2,4,4,3,4,4,Juggling visa deadlines and financial aid applications is overwhelming.
2025-01-17 20:46:21,2025-01-17 20:51:44,IP Address,134.229.32.233,100,323,True,2025-01-17 20:51:48,R_HLW7slQlkFxAIiK,anonymous,EN,I agree,4,P234,International,Kenya,25,FEMALE,2,3,3,3,2,4,3,5,3,3,4,4,5,3,3,3,4,Financial aid gaps force me to take on more debt.
2025-01-19 15:39:33,2025-01-19 15:47:37,IP Address,83.143.250.29,100,484,True,2025-01-19 15:47:42,R_E94rnJdXDHFyQk8,anonymous,EN,I agree,4,P269,International,China,23,NB,2,2,3,3,3,1,4,3,3,3,3,3,3,5,5,4,4,Sometimes feel my accent makes others dismiss my ideas.
2025-01-19 16:11:03,2025-01-19 16:17:04,IP Address,107.244.42.164,100,361,True,2025-01-19 16:17:05,R_RCQanKuLqIoDMwE,anonymous,EN,I agree,4,P270,International,India,27,m,1,3,4,4,2,3,2,5,5,6,4,6,5,3,2,2,2,Microaggressions like 'You're so articulate' make me feel tokenized.
2025-01-15 02:34:19,2025-01-15 02:43:17,IP Address,193.247.50.160,100,538,True,2025-01-15 02:43:19,R_1JwQV7VbeqcdWFM,anonymous,EN,I agree,4,P165,EU,France,30,Female,1,4,4,4,2,3,3,3,5,5,4,4,5,2,2,3,2,"UK social scenes are quieter than I expected—more laid-back, but I've found great friends."
2025-01-10 13:38:10,2025-01-10 13:47:04,IP Address,84.110.105.128,100,534,True,2025-01-10 13:47:09,R_FCIX3BYOtDjdg3v,anonymous,EN,I agree,4,P073,UK,England,24,FEMALE,3,4,4,3,1,3,3,3,5,5,6,5,5,3,2,2,2,Everything's manageable—just need to stay organised.
2025-01-15 00:01:48,2025-01-15 00:07:14,IP Address,211.156.167.253,100,326,True,2025-01-15 00:07:23,R_x7tirfILLWQ0OsG,anonymous,EN,I agree,4,P163,EU,Germany,27,F,1,4,4,4,2,5,2,4,6,4,5,4,4,2,2,2,2,"Love the campus vibe, but miss my family's cooking."
2025-01-16 19:41:21,2025-01-16 19:49:13,IP Address,108.249.80.24,100,472,True,2025-01-16 19:49:18,R_VlQufwUtWuqs0D1,anonymous,EN,I agree,4,P208,EU,Sweden,27,F,1,3,3,4,2,3,3,3,5,5,4,4,4,2,3,2,3,"Language barriers are minor—most people are patient, but accents confuse me."
2025-01-11 17:02:34,2025-01-11 17:12:52,IP Address,188.164.96.130,100,618,True,2025-01-11 17:12:58,R_h8yXv6UmFFciuDC,anonymous,EN,I agree,4,P102,UK,England,21,female,3,4,4,4,3,3,3,4,5,5,4,4,5,1,1,2,2,Socialising helps me stay focused; I'd do more if I had time.
2025-01-12 08:52:17,2025-01-12 09:00:51,IP Address,180.69.196.187,100,514,True,2025-01-12 09:01:00,R_vlHGTnabsPHGZpv,anonymous,EN,I agree,4,P120,UK,England,25,Female,2,4,4,3,3,4,2,3,5,4,5,5,5,2,1,2,2,"My flat has a great vibe, but maintenance is slow."
2025-01-20 12:17:53,2025-01-20 12:24:09,IP Address,92.115.245.217,100,376,True,2025-01-20 12:24:12,R_J4KsTJedVvYz11o,anonymous,EN,I agree,4,P298,International,Malaysia,29,Female,1,2,3,3,3,3,3,4,4,5,4,4,4,3,2,2,2,"Celebrate small wins, like passing exams, to stay motivated."
2025-01-11 04:17:09,2025-01-11 04:22:51,IP Address,83.198.21.33,100,342,True,2025-01-11 04:22:59,R_WvTMVTucHYkWCRN,anonymous,EN,I agree,4,P085,UK,Wales,24,m,2,3,3,3,3,2,4,2,3,3,4,4,4,2,2,2,2,Not really
2025-01-13 05:51:53,2025-01-13 06:00:21,IP Address,102.90.105.39,100,508,True,2025-01-13 06:00:30,R_fMXSfjSNTtgatwq,anonymous,EN,I agree,4,P137,EU,France,21,f,1,4,4,5,1,5,1,5,6,-99,5,5,5,1,1,1,1,"I'm loving the freedom to explore, but homesickness hits when I'm alone."
2025-01-20 10:50:40,2025-01-20 10:59:28,IP Address,207.131.97.168,100,528,True,2025-01-20 10:59:30,R_G9ssn1bYQrII5jc,anonymous,EN,I agree,4,P296,International,Nigeria,24,FEMALE,2,4,4,4,3,3,3,4,3,3,4,4,4,4,3,4,5,"Made friends who've helped me adapt, but systemic bias remains."
2025-01-08 22:04:57,2025-01-08 22:11:49,IP Address,90.176.4.71,100,412,True,2025-01-08 22:11:52,R_2BR4cXsxjGJXke1,anonymous,EN,I agree,4,P047,UK,England,21,Female,2,4,4,3,3,3,3,3,4,4,4,3,5,5,4,3,4,
2025-01-14 09:47:35,2025-01-14 09:54:12,IP Address,89.34.112.76,68,397,False,2025-01-14 09:54:16,R_Lp4vJsX8mCqRdN1,anonymous,EN,I agree,4,P303,UK,England,22,m,2,4,3,4.0,2.0,3.0,4.0,3.0,4.0,5.0,4.0,,,,,,,
